VIN,Stock,Milege,Interior_Color,Exterior_color,Drive_type,Model,Make,Request Info,Photo,Year,Location,Payment,Trim,Price
1GYKPMRL4RZ102008,RZ102008,"10,203",Noir,Stellar Black Metallic,All-Wheel Drive,LYRIQ,Cadillac,(908) 495-6769,https://static.cargurus.com/images/forsale/2025/08/01/13/33/2024_cadillac_lyriq-pic-6338131016557927239-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Westfield, NJ",$670/mo est.,Tech AWD,"$37,900.00"
1GYKPSRL5RZ139234,C12998A,"10,472",Noir,Radiant Red Tintcoat,All-Wheel Drive,LYRIQ,Cadillac,(417) 275-6115,https://static.cargurus.com/images/forsale/2025/09/17/13/12/2024_cadillac_lyriq-pic-1620039342080196544-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Springfield, MO",$786/mo est.,Luxury 3 AWD,"$44,468.00"
1GYKPURK9SZ313203,SZ313203,357,,Argent Silver Metallic,Rear-Wheel Drive,LYRIQ,Cadillac,(760) 330-2914,https://static.cargurus.com/images/forsale/2025/09/08/06/02/2025_cadillac_lyriq-pic-5210554872312325313-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2025,"Carlsbad, CA","$1,068/mo est.",Sport 1 RWD,"$60,590.00"
1GYKPRRLXRZ121093,X562048B,"4,366",Sky Cool Gray w/ Santorini Blue Accents,Crystal White Tricoat,All-Wheel Drive,LYRIQ,Cadillac,(480) 526-9849,https://static.cargurus.com/images/forsale/2025/07/30/13/49/2024_cadillac_lyriq-pic-7864348536970352753-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Chandler, AZ",$793/mo est.,Luxury 2 AWD,"$44,883.00"
1GYKPSRL6RZ138397,3665XX,"9,280",Noir With Santorini Blue Accents,Radiant Red Tintcoat,All-Wheel Drive,LYRIQ,Cadillac,,,2024,"Marquette, MI",$724/mo est.,Luxury 3 AWD,"$40,998.00"
1GYKPMRK3RZ105344,BLDC3031,"3,274",Noir,Argent Silver Metallic,Rear-Wheel Drive,LYRIQ,Cadillac,(330) 969-6245,https://static.cargurus.com/images/forsale/2025/09/30/08/40/2024_cadillac_lyriq-pic-4878764996901441068-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Alliance, OH",$610/mo est.,Tech RWD,"$34,500.00"
1GYKPPRK3RZ108522,B7005,"10,465",Noir with Santorini Blue accents,Radiant Red Tintcoat,Rear-Wheel Drive,LYRIQ,Cadillac,(656) 216-3046,https://static.cargurus.com/images/forsale/2025/09/19/15/45/2024_cadillac_lyriq-pic-5258573528742302752-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Rittman, OH",$600/mo est.,Luxury 1 RWD,"$33,950.00"
1GYKPTRL2RZ109968,740,"32,049",NOIR W/ SANTORINI BLUE,ARGENT SILVER METALLIC,All-Wheel Drive,LYRIQ,Cadillac,(925) 273-7287,https://static.cargurus.com/images/forsale/2025/07/21/10/30/2024_cadillac_lyriq-pic-5450564136543176970-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"San Ramon, CA",$618/mo est.,Sport 1 AWD,"$34,995.00"
1GYKPPRL7PZ003214,26-2116EW,"19,330",Noir,Gray (Satin Steel Metallic),All-Wheel Drive,LYRIQ,Cadillac,(760) 853-5743,https://static.cargurus.com/images/forsale/2025/09/30/23/01/2025_cadillac_ct5-pic-5705884138882379892-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2023,"Cathedral City, CA",$637/mo est.,Luxury AWD,"$36,000.00"
1GYKPURL3SZ300150,U33995,"1,096",Noir With Santorini Blue Accents,Stellar Black Metallic,All-Wheel Drive,LYRIQ,Cadillac,(425) 470-4417,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2025,"Seattle, WA",$969/mo est.,Sport 1 AWD,"$54,992.00"
