web-scraper-order,web-scraper-start-url,pagination-selector,image-src,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,phone,data31,data32,data33,data34,title,data35,price,title2,data36
"1759456819-1","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/679d7111-2f61-4a95-9c55-178525ee6640.jpg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp","","1GYKPSRL6RZ140361","PTA140361","Not Rated","16,048","1-Speed Automatic","Noir With Santorini Blue Accents","Electric","Stellar Black Metallic","Electric","All-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","VIN:","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Interior color:","Fuel type:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2024","Year:","Request info","(531) 530-3536","1,946 mi away","Livonia, MI","$777/mo est.","16,048 miles","Luxury 3 AWD","Learn more about this 2024 Cadillac LYRIQ","$43,990","2024 Cadillac LYRIQ","Save this listing"
"1759456819-2","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static.cargurus.com/images/forsale/2025/09/30/17/56/2024_cadillac_lyriq-pic-8205319489134157349-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp","New arrival","1GYKPPRK0RZ110146","Z705663A","Not Rated","15,542","1-Speed Automatic","Sky Gray With Santorini Blue Accents","Electric","Stellar Black Metallic","Electric","Rear-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","VIN:","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Interior color:","Fuel type:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2024","Year:","Request info","(866) 536-5975","2,706 mi away","Homestead, FL","$707/mo est.","15,542 miles","Luxury 1 RWD","Learn more about this 2024 Cadillac LYRIQ","$39,990","2024 Cadillac LYRIQ","Save this listing"
"1759456819-3","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static.cargurus.com/images/forsale/2025/09/20/22/19/2024_cadillac_lyriq-pic-8208564583434157469-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp","New arrival","1GYKPTRLXSZ302133","P1498","5","7,384","1-Speed Automatic","Noir With Santorini Blue Accents","Electric","Emerald Lake Metallic","Electric","All-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","VIN:","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Interior color:","Fuel type:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2025","Year:","Request info","(317) 406-5034","1,866 mi away","Avon, IN","$1,029/mo est.","7,384 miles","Luxury 3 AWD","Learn more about this 2025 Cadillac LYRIQ","$58,364","2025 Cadillac LYRIQ","Save this listing"
"1759456819-4","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static.cargurus.com/images/forsale/2025/10/02/03/07/2025_cadillac_lyriq-pic-6929466890784451607-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp","New arrival","1GYKPTRL9SZ307386","E17462","5","7,141","Automatic","Gray","Electric","Silver","Electric","All-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Interior color:","Fuel type:","Combined gas mileage:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2025","Year:","Request info","(262) 668-8493","1,705 mi away","Saukville, WI","$846/mo est.","7,141 miles","Luxury 3 AWD","Learn more about this 2025 Cadillac LYRIQ","$47,999","2025 Cadillac LYRIQ","Save this listing"
"1759456819-5","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static.cargurus.com/images/forsale/2025/09/30/23/01/2025_cadillac_ct5-pic-5705884138882379892-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp","New arrival","1GYKPPRL7PZ003214","26-2116A","Not Rated","19,330","Continuously Variable Transmission","Noir","Electric","Gray (Satin Steel Metallic)","Electric","All-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Interior color:","Fuel type:","Combined gas mileage:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2023","Year:","Request info","(760) 853-5743","878 mi away","Cathedral City, CA","$637/mo est.","19,330 miles","Luxury AWD","Learn more about this 2023 Cadillac LYRIQ","$36,000","2023 Cadillac LYRIQ","Save this listing"
"1759456819-6","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shop eligible cars","","","","","","","","","",""
"1759456819-7","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","http://vehicle-photos-published.vauto.com/be/b9/3c/b7-300d-4bbd-9d14-ec07ad1c55bc/image-1.jpg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp","New arrival","1GYKPPRL1RZ100265","25460D","Not Rated","27,749","1-Speed Automatic","Sky Gray With Santorini Blue Accents","Electric","Crystal White Tricoat","Electric","All-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","VIN:","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Interior color:","Fuel type:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2024","Year:","Request info","(833) 484-1390","1,734 mi away","Lombard, IL","$694/mo est.","27,749 miles","Luxury 1 AWD","Learn more about this 2024 Cadillac LYRIQ","$39,303","2024 Cadillac LYRIQ","Save this listing"
"1759456819-8","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static.cargurus.com/images/forsale/2025/10/02/05/48/2023_cadillac_lyriq-pic-1678737398782849673-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp","New arrival","1GYKPMRK1PZ000833","PZ000833P","Not Rated","17,819","1-Speed Automatic","Gray (Sky Cool Grey)","Electric","Gray (Satin Steel Metallic)","Electric","Rear-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","VIN:","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Interior color:","Fuel type:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2023","Year:","Request info","(725) 227-9106","758 mi away","Las Vegas, NV","$602/mo est.","17,819 miles","Luxury RWD","Learn more about this 2023 Cadillac LYRIQ","$34,000","2023 Cadillac LYRIQ","Save this listing"
"1759456819-9","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static.cargurus.com/images/forsale/2025/10/02/01/13/2024_cadillac_lyriq-pic-1606229034834008119-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp","New arrival","1GYKPWRL7RZ138707","C13021A","Not Rated","9,897","1-Speed Automatic","Noir","Electric","Opulent Blue Metallic","Electric","All-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","VIN:","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Interior color:","Fuel type:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2024","Year:","Request info","(417) 275-6115","1,620 mi away","Springfield, MO","$829/mo est.","9,897 miles","Sport 3 AWD","Learn more about this 2024 Cadillac LYRIQ","$46,950","2024 Cadillac LYRIQ","Save this listing"
"1759456819-10","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static.cargurus.com/images/forsale/2025/10/01/19/41/2024_cadillac_lyriq-pic-4245294679854795401-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp","New arrival","1GYKPTRK9RZ100613","Z100613","Not Rated","5,517","Automatic","","Electric","Blue","Electric","Rear-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","VIN:","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Fuel type:","Combined gas mileage:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2024","Year:","Request info","(954) 519-4503","2,681 mi away","Pompano Beach, FL","$724/mo est.","5,517 miles","Sport 1 RWD","Learn more about this 2024 Cadillac LYRIQ","$40,999","2024 Cadillac LYRIQ","Save this listing"
